id;group_id;due_date;amount_per_member;created_at;effective_from
5346fa97-014b-4a84-b065-66a3bff001cf;aec743b6-fceb-46ce-bfa0-bb962f43da9e;2025-09-01;10000;2026-03-01 11:19:54.781175+00;
aca15323-9753-47ae-9ce5-34ddcd5383d3;aec743b6-fceb-46ce-bfa0-bb962f43da9e;2025-10-01;10000;2026-03-01 11:19:54.781175+00;
b6d5fd2e-cba5-4ec7-bce4-55ea6e9a4c95;aec743b6-fceb-46ce-bfa0-bb962f43da9e;2025-11-01;10000;2026-03-01 11:19:54.781175+00;
bdfc74b0-4a7e-4ddc-aed6-791e4b1c72ec;aec743b6-fceb-46ce-bfa0-bb962f43da9e;2025-12-01;10000;2026-03-01 11:19:54.781175+00;
809229f7-a0c3-4d4d-a5b7-11d4429d1617;aec743b6-fceb-46ce-bfa0-bb962f43da9e;2026-01-01;10000;2026-03-01 11:19:54.781175+00;
9c760359-e989-4f30-af7e-13daeb1757a7;aec743b6-fceb-46ce-bfa0-bb962f43da9e;2026-02-01;10000;2026-03-01 11:19:54.781175+00;
8e648a04-c990-4837-b2f4-1b3c6789d527;aec743b6-fceb-46ce-bfa0-bb962f43da9e;2026-03-01;10000;2026-03-01 11:19:54.781175+00;
284274fe-fe62-4b41-928c-330b61b4c5b5;aec743b6-fceb-46ce-bfa0-bb962f43da9e;2026-04-01;10000;2026-03-01 11:19:54.781175+00;
a26ff38f-25ae-4638-9960-994140c7cdf1;aec743b6-fceb-46ce-bfa0-bb962f43da9e;2026-05-01;10000;2026-03-01 11:19:54.781175+00;
d1acb8fe-fe4d-46da-ab63-47fae871f836;3db7b2e5-e376-4d98-bbbc-8c2d964ea849;2026-04-01;6944;2026-03-02 13:52:16.185004+00;
93df7b06-1bf0-4768-a042-07c4e626d4d0;3db7b2e5-e376-4d98-bbbc-8c2d964ea849;2026-05-01;6944;2026-03-02 13:52:16.185004+00;
fab64afa-c590-48d7-abd2-3a931a55753f;3db7b2e5-e376-4d98-bbbc-8c2d964ea849;2026-06-01;6944;2026-03-02 13:52:16.185004+00;
e68333be-2871-43e9-9fd2-2e7cd27a83c9;3db7b2e5-e376-4d98-bbbc-8c2d964ea849;2026-07-01;6944;2026-03-02 13:52:16.185004+00;
cedf8b62-e187-4eaa-a71d-8a275bcdc0bc;3db7b2e5-e376-4d98-bbbc-8c2d964ea849;2026-08-01;6944;2026-03-02 13:52:16.185004+00;
e94f834a-b7f6-47cf-a05d-19853b49350b;3db7b2e5-e376-4d98-bbbc-8c2d964ea849;2026-09-01;6944;2026-03-02 13:52:16.185004+00;
c15e0c43-31cc-48c5-84e9-6f05073e55f2;3db7b2e5-e376-4d98-bbbc-8c2d964ea849;2026-10-01;6944;2026-03-02 13:52:16.185004+00;
3524c4ab-3abf-4999-919f-42b168ac1383;3db7b2e5-e376-4d98-bbbc-8c2d964ea849;2026-11-01;6944;2026-03-02 13:52:16.185004+00;
15f14b20-acc2-4e62-9982-667c31012165;3db7b2e5-e376-4d98-bbbc-8c2d964ea849;2026-12-01;6948;2026-03-02 13:52:16.185004+00;
